"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Автор / соавтор / предложил тему","Есть видео в
видеотеке"
"984","Ф","Финал МЛЧ 2014 ","Городской","Москва","2014.04","ЭПСЧ государство должно поддерживать семейные ценности","712. Околосемейные отношения. Брак","","1"
"985","Р1","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭП вернет церковное право на убежище","725. Религия","",""
"986","Р2","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭПСЧ спонсирование протестов в тоталитарных странах является легальным инструментом внешней политики","502. Демократия и авторитаризм..","",""
"987","Р3","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭПСЧ лукизм приемлем","724. Медицина. Ожирение, ЗОЖ, бодипозитив","",""
"988","Р4","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭПСЧ Красный Крест должен заявлять о военных преступлениях, свидетелями которых стали его сотрудники","501. Конфликтология. Давление (война)","Николаев Даниил",""
"989","Р5","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭПСЧ краудфандинг предпочтительнее субсидирования","403. Управление (государство, частник, НКО)","",""
"990","ПФ","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭП запретит использование этой технологии в отношении аккаунтов умерших.
* Изобретена технология, использующая информацию из аккаунта человека в соц. сетях (сообщения, фото, видео, аудио), для создания AI - виртуального аналога пользователя, с которым можно осуществлять интернет-общение","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
302. Эмоции. Ожидания и обида
306. Действие. Иррациональный / несвободный выбор.
503. Идентичность и/или Интеграция
722. Технологии. Роботы, ИИ","",""
"991","Ф","V ОК ЮУрГУ ","Открытый","Челябинск","2014.04","ЭП осудит практику приношения клятвы флагу США среди детей","503. Идентичность и/или Интеграция
801. Запад. США","Николаев Даниил",""
"992","Р1","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭП приравняет блоги к СМИ","721. Информационная сфера. СМИ и свобода слова","",""
"993","Р2","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭП поддерживает применение/разрешение отрядов вигилантов в регионах с высоким уровнем преступности","501. Конфликтология. Давление (самооборона / месть)","","1"
"994","Р3","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭП закажет у студии ""Marvel"" создание супергероя-мусульманина","614. Расизм","",""
"995","Р4","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭП запретит ВУЗам использовать посещаемость в качестве критерия выставления оценки по курсу","723. Образование","",""
"996","Р5","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭП введет образовательный ценз (по результатам сдачи теста) при голосовании на выборах","202. Перераспределение.
502. Демократия и авторитаризм. Право голоса
723. Образование","",""
"997","ПФ","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭПСЧ зарплатные ведомости работников должны быть общедоступными","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
401. Неравенство и/или экономический рост
402. Конкуренция..
503. Идентичность и/или Интеграция
601. Ущемляемые","",""
"998","Ф","Онежские прения 2014 ","Открытый","Петрозаводск","2014.04","ЭП внесёт условие о соблюдении моральных норм в трудовые договоры лиц, занимающих публичные должности в политической среде","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
502. Демократия и авторитаризм..
601. Ущемляемые","",""
"999","Р1","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭП поддерживает продажу гражданства иностранным гражданам всеми странами","305. Действие. Стимул работать. Коммерциализация
503. Идентичность и/или Интеграция (гражданство)","",""
"1000","Р2","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭП введёт налоговые льготы для вегетарианцев","202. Перераспределение (почему именно его обязываем)
408. Рынок продовольствия
618. Животные
726. Экология","",""
"1001","Р3","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭП распустит ООН","501. Конфликтология. Влияние (международка)
501. Влияние. Единство (сепаратизм / интеграция)
501. Конфликтология. Давление (санкции)
501. Конфликтология. Давление (война)
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
810. Мир. ООН","","1"
"1002","Р4","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭП лишит родительских прав лиц, страдающих аддикцией (зависимостью) от компьютерных игр","306. Действие. Иррациональный / несвободный выбор.
713. Дети. Воспитание, лишение родит. Прав
733. Развлечения. Компьютерные игры, VR","",""
"1003","Р5","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭПСЧ ВУЗы должны иметь право отчислять студентов за недостойное поведение за пределами ВУЗа","723. Образование","","3"
"1004","Р6","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭПСЧ госслужащие не должны иметь права голоса","502. Демократия и авторитаризм. Право голоса
503. Идентичность и/или Интеграция","","2"
"1005","Р7","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭПС допустимым этническое профилирование в России
* Этническое профилирование – это практика сотрудников полиции и других правоохранительных органов, заключающаяся в использовании этнической принадлежности в качестве основания для проведения следственных действий в отношении данных лиц","501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)
614. Расизм","","3"
"1006","Р8","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭПСЧ пол должен определяться не физиологией, а желанием человека","301. Вера. Формирование убеждений
306. Действие. Иррациональный / несвободный выбор.
503. Идентичность и/или Интеграция
613. ЛГБТ+","","2"
"1007","Р9","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭПСЧ Россия должна прекратить экспорт необработанных природных ресурсов","407. Рынок энергетики и ресурсов
501. Конфликтология. Влияние (международка)
502. Демократия и авторитаризм..
802. Россия. Политика и общество
802. Россия. Внешняя политика","","2"
"1008","ПФ","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭП сожалеет о свержении Хосни Мубарака","502. Демократия и авторитаризм. Революция
806. Большой Ближний Восток..","","2"
"1009","Ф","XI ОК МГЮА ","Открытый","Москва","2014.05","ЭПСЧ СМИ не обязаны говорить правду","721. Информационная сфера. СМИ и свобода слова","","1"
"1010","Р1","Внутренний Итоговый Турнир МГУ 2014 ","Внутренний","Москва","2014.05","В странах, где легализовано рабство, ЭП запретит гладиаторские бои с участием рабов","304. Привыкание VS. возбуждение / накопление
501. Конфликтология. Общество насилия (рабство)
733. Развлечения..","Берёзов Дмитрий",""
"1011","Р2","Внутренний Итоговый Турнир МГУ 2014 ","Внутренний","Москва","2014.05","ЭП будет преследовать лиц, осуществивших домашнее насилие, вне зависимости от согласия жертв на такое преследование","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Общество насилия (маскулинность и домашнее насилие)
712. Околосемейные отношения","","1"
"1012","Р3","Внутренний Итоговый Турнир МГУ 2014 ","Внутренний","Москва","2014.05","ЭПСЧ государство должно бороться с культурой потребления (консьюмеризма)","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
726. Экология","","1"
"1013","Ф","Внутренний Итоговый Турнир МГУ 2014 ","Внутренний","Москва","2014.05","ЭПСЧ в развивающихся странах реформы, направленные на снижение социального неравенства, важнее, чем реформы, направленные на экономический рост","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
501. Конфликтология. Общество насилия.
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
601. Ущемляемые","","1"
"1014","Р1","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭПСЧ голоса членов семьи должны учитываться только тогда, когда женщины в этой семье голосуют","502. Демократия и авторитаризм. Право голоса
611. Гендерное неравенство. Права женщин (феминизм)
712. Околосемейные отношения","","1"
"1015","Р2","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭП сожалеет о чрезмерной опеке детей в западном обществе
* Речь идёт о чрезмерной заботе и, как пример, невозможности силой заставить ребёнка пойти в школу","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
305. Действие. Стимул работать..
713. Дети. Воспитание, лишение родит. прав","","2"
"1016","Р3","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭП откажет в предоставлении материальной помощи развивающимся странам, в которых приняты законы, направленные на жесткое подавление деятельности ЛГБТ сообществ","401. Неравенство и/или экономический рост
501. Конфликтология. Давление (санкции)
613. ЛГБТ+","","1"
"1017","Р4","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭП не осуждает родителей, отказывающихся от новорождённого ребенка с синдромом ДЦП","306. Действие. Иррациональный / несвободный выбор.
615. Инвалидность/особенности развития. Ментальные особенности
713. Дети. Родители и дети
713. Дети. Детдома, усыновление","","1"
"1018","Р5","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭП примет Донецкую Народную Республику и Луганскую Народную Республики в состав РФ","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление (война)
802. Россия. Внешняя политика
803. Запад б. СССР. Украина и Россия с 2014 г. (в т.ч. Донбасс и Крым)","",""
"1019","ПФ","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭПСЧ либеральное демократическое сообщество России должно осудить Запад в связи с ситуацией на Украине","501. Конфликтология. Влияние (выборы)
501. Конфликтология. Давление (санкции)
802. Россия. Политика и общество
803. Запад б. СССР. Украина и Россия с 2014 г. (в т.ч. Донбасс и Крым)","",""
"1020","Ф","Полемика 2014 ","Открытый","Санкт-Петербург","2014.05","ЭПСЧ государство не должно защищать людей от самих себя (в трактовке 1-ого правительства: ЭПСЧ государство не должно защищать людей от их желания умереть и от их действий, направленных на их смерть).","306. Действие. Иррациональный / несвободный выбор (эвтаназия / самоубийство)","","1"
"1021","Р1","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭП будет принудительно изымать и помещать в интернаты детей из этнических образований, соблюдающих традиции, препятствующие получению этими детьми полноценного образования и медицинской помощи.","713. Дети. Воспитание, лишение родит. Прав
723. Образование","",""
"1022","Р2","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭПСЧ западные страны должны наложить экономические санкции на РФ, включающие в себя запрет на покупку энергоресурсов","407. Рынок энергетики и ресурсов
501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление (санкции)
803. Запад б. СССР. Украина и Россия с 2014 г. (в т.ч. Донбасс и Крым)","",""
"1023","Р3","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭП сожалеет о победе Кончиты Вюрст на Евровидении","613. ЛГБТ+","",""
"1024","Р4","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭП запретит национальные космические проекты","403. Управление (государство, частник, НКО)
722. Технологии. Освоение космоса","Лукашевич Денис",""
"1025","Р5","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭПСЧ онлайн-общение приносит человечеству больше пользы, чем общение вживую","721. Информационная сфера. Социальные сети","",""
"1026","ПФ","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭПСЧ государство должно бороться с культурой консьюмеризма","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
726. Экология","","1"
"1027","Ф","ОК НГУ 2014 ","Открытый","Новосибирск","2014.05","ЭПСЧ развивающие страны должны отдавать приоритет реформам, направленным на снижение социального неравенства, а не реформам, направленным на экономический рост","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
501. Конфликтология. Общество насилия.
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
601. Ущемляемые","","1"
"1028","Р1","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭПСЧ автор не имеет права препятствовать распространению своего произведения","202. Перераспределение.
302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
303. Привязанность / проект..
305. Действие. Стимул работать..
733. Развлечения. Искусство и культура","",""
"1029","Р2","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭПС убийство политических лидеров допустимой тактикой ведения войны","501. Конфликтология. Давление (война)","","1"
"1030","Р3","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭП запретит религиозным организациям публично оценивать произведения светской культуры","725. Религия","",""
"1031","Р4","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭП введёт потолок зарплат в профессиональных спортивных клубах","732. Спорт","","1"
"1032","Р5","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭП наложит уголовную ответственность на учителей за детское насилие (совершаемое одними детьми в отношении других)","501. Конфликтология. Давление..
723. Образование","",""
"1033","ПФ","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭП отменит любое антимонопольное законодательство","402. Конкуренция. Монополии","","1"
"1034","Ф","ОТ «Вятка-2014» ","Открытый","Киров","2014.05","ЭП откажется от исторического титула как основания для возникновения права собственности государств на территорию
* Исторический титул – основание для возникновения права собственности на территорию, основанное на оценке таких исторических фактов, как открытие, историческая справедливость","203. Наследство
204. Коллективная ответственность
305. Действие. Стимул работать..
810. Мир..","","1"
"1035","Р1","Внутренний турнир РЭУ ","Внутренний","Москва","2014.06","ЭП запретит частные школы","403. Управление (государство, частник, НКО)
723. Образование","",""
"1036","Р2","Внутренний турнир РЭУ ","Внутренний","Москва","2014.06","ЭП перенесёт все крупные спортивные соревнования в страны с высоким уровнем жизни","732. Спорт","",""
"1037","Р3","Внутренний турнир РЭУ ","Внутренний","Москва","2014.06","ЭП обяжет врачей сообщать о ВИЧ-инфецировании человека его сексуальному партнёру","724. Медицина. СПИД/ВИЧ","",""
"1038","Ф","Внутренний турнир РЭУ ","Внутренний","Москва","2014.06","ЭПСЧ преступление против журналиста должно оцениваться как более тяжкое.","721. Информационная сфера. СМИ и свобода слова","",""
"1039","","Игра вне турнира","Игра вне турнира","-","2014.07-12.","ЭПСЧ вузы должны иметь право отчислять студента за недостойное поведение за пределами вуза.","723. Образование","",""
"1041","","Игра вне турнира","Игра вне турнира","-","2014.09","ЭП будет платить молодёжи, чтобы она не переезжала из деревни в город","731. Миграция и демография. Город и деревня","",""
"1046","Р1","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭП запретит проводить крупные спортивные соревнования в странах с напряженной социальной обстановкой","732. Спорт","",""
"1047","Р2","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭП обяжет СМИ публиковать ссылки на альтернативные мнения и источники информации","721. Информационная сфера. СМИ и свобода слова","",""
"1048","Р3","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭПСЧ страны-члены ООН должны иметь количество голосов, пропорциональное их населению","501. Конфликтология. Влияние (международка)
502. Демократия и авторитаризм. Право голоса
810. Мир. ООН","",""
"1049","Р4","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭПСЧ охота этически более допустима, чем выращивание животных на убой","304. Привыкание VS. возбуждение / накопление
618. Животные
733. Развлечения..","",""
"1050","Р5","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭП будет отправлять детей в определённом возрасте на год по обмену в семьи другого социального статуса","202. Перераспределение.
301. Вера. Формирование убеждений
302. Эмоции..
302. Эмоции. Эмпатия
302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
304. Привыкание VS. возбуждение / накопление
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
503. Идентичность и/или Интеграция","",""
"1051","ПФ","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭП снимет фильм
* Вы – довольно успешный режиссёр качественного кино, вам попал в руки гениальный сценарий, при этом явно противоречащий сегодняшней морали","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
303. Привязанность / проект..","",""
"1052","Ф","XIII Кубок Чехова ","Открытый","Таганрог","2014.07","ЭПСЧ в случае обнаружения у ребёнка исключительных способностей в какой-либо сфере общество имеет право навязать ему жизненный путь","201. Утилитаризм, вуаль незнания
202. Перераспределение (почему именно его обязываем)","",""
"1053","Р1","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП ужесточит лимит на легионеров в российском футболе.","732. Спорт","",""
"1054","Р2","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП морально оправдывает секты.","725. Религия","",""
"1055","Р3","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП запретит материальную помощь из Саудовской Аравии на проповедование ислама в ЕС до тех пор, пока в Саудовской Аравии запрещены другие религии","501. Конфликтология. Давление (санкции)
614. Расизм
725. Религия. Ислам
801. Запад. Европа и/или ЕС.
806. Большой Ближний Восток. Саудовская Аравия","",""
"1056","Р4","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП отменит обязательное пенсионное страхование","202. Перераспределение (кому мы должны помочь)
305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
401. Неравенство и бедность (пенсии)","",""
"1057","Р5","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП запретит освещение в СМИ случаев суицида","301. Вера. Формирование убеждений
306. Действие. Иррациональный / несвободный выбор (эвтаназия / самоубийство)","",""
"1058","ПФ","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП приватизирует государственные корпорации","403. Управление (государство, частник, НКО)","","1"
"1059","Ф","Pro et Contra IV ","Открытый","Екатеринбург","2014.09","ЭП отменит систему оценок в школе","723. Образование","","1"
"1060","Р1","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭП откажется от привлечения натурализованных спортсменов в национальные сборные","503. Идентичность и/или Интеграция
614. Расизм
732. Спорт","Лукашевич Денис",""
"1061","Р2","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭП поддержит выборность судей","501. Конфликтология и/или безопасность и/или функции уголовной ответственности
502. Демократия и авторитаризм. Эксперты vs. народ..","Лукашевич Денис",""
"1062","Р3","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭП будет выплачивать комиссию от штрафа лицу, сообщившему о нарушении (преступлении)","305. Действие. Стимул работать. Коммерциализация
501. Конфликтология и/или безопасность и/или функции уголовной ответственности","Лукашевич Денис",""
"1063","Р4","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭП откажется от широких культурных и законодательных автономий в пользу реинтеграции или выхода из состава государства","501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
503. Идентичность и/или Интеграция","",""
"1064","Р5","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭПСЧ в случаях, когда существует выбор между спасением жизни человека с высокой вероятностью, но при этом качество жизни будет низким, и сохранением качества жизни, но существенным риском смерти пациента, врач должен выбрать сохранение жизни даже против воли пациента","201. Утилитаризм, вуаль незнания","",""
"1065","Р6","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭПСЧ храмы должны содержаться только за счет налога с доходов прихожан этого храма","202. Перераспределение (кому мы должны помочь)
403. Управление (государство, частник, НКО)
725. Религия","Лукашевич Денис",""
"1066","Игра за 16-е место","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭПСЧ развитые страны не должны оказывать безвозмездную помощь странам Африки","202. Перераспределение.
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
807. Африка","",""
"1067","ЧФ","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭП от лица государства будет доплачивать женщинам, занимающим традиционно «мужские» должности, и мужчинам, занимающим традиционно «женские».","202. Перераспределение (кому мы должны помочь)
611. Гендерное неравенство. Права женщин (феминизм)
611. Гендерное неравенство. Права мужчин","",""
"1068","ПФ","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭП запретит благотворительным фондам использовать личные данные своих подопечных для привлечения благотворителей","302. Эмоции. Эмпатия
601. Ущемляемые
603. Ущемляемые. Благотворительность","Лукашевич Денис","1"
"1069","Ф","Международная академия дебатов IDEA им. Чингиза Айтматова ","Открытый","Иссык-Куль (Киргизия)","2014.09","ЭПСЧ мы не должны в любой форме награждать за участие в войне и/или подвиги, связанные с войной","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология. Давление (вооружённые силы)
501. Конфликтология. Давление (война)","","1"
"1070","Р1","Турнир «Зелень» ","Открытый","Кострома","2014.10","ЭП введет уголовную ответственность за попытку суицида","306. Действие. Иррациональный / несвободный выбор (эвтаназия / самоубийство)","",""
"1071","Р2","Турнир «Зелень» ","Открытый","Кострома","2014.10","ЭП введет уголовную ответсвенность за супружескую измену.","712. Околосемейные отношения. Измена","",""
"1072","Р3","Турнир «Зелень» ","Открытый","Кострома","2014.10","ЭП амнистирует членов террористических группировок, если эти группировки сложат оружие и публично откажутся от своих целей.","501. Конфликтология. Давление (война)","",""
"1073","Р4","Турнир «Зелень» ","Открытый","Кострома","2014.10","ЭП лишит церковь всех привелегий.","725. Религия","",""
"1074","Р5","Турнир «Зелень» ","Открытый","Кострома","2014.10","ЭП введёт квоты для женщин в топ-менеджменте крупных компаний","503. Идентичность и/или Интеграция
611. Гендерное неравенство. Права женщин (феминизм)","",""
"1075","Ф","Турнир «Зелень» ","Открытый","Кострома","2014.10","ЭП введёт сухой закон (запретит производство, распространение, употребление алкоголя)","306. Действие. Иррациональный / несвободный выбор.
724. Медицина. Алкоголь, табак и проч.","","1"
"1076","Р1","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭП запретит не свидетельствовать против родственников","303. Привязанность / проект. Семья.
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)
712. Околосемейные отношения","",""
"1077","Р2","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭПСЧ Мэннинг, Ассанж и Сноуден поступили правильно","302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
501. Конфликтология и/или безопасность. Прослушка и проч. (+ privacy)
721. Информационная сфера. СМИ и свобода слова","",""
"1078","Р3","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭП сожалеет, что Барак Обама не сделал свой этнический бэкграунд значимым за время своего пребывания в Белом доме","503. Идентичность и/или Интеграция
614. Расизм
801. Запад. США","",""
"1079","Р4","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭПСЧ государство должно пропагандировать то, что сознательное решение не иметь детей - это нормально","713. Дети. Чайлд-фри","",""
"1080","Р5","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭП будет дополнительно поддерживать женщин-предпринимателей","305. Действие. Стимул работать..
611. Гендерное неравенство. Права женщин (феминизм)","",""
"1081","Фмк","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭП отменит пределы самообороны при защите собственности","501. Конфликтология. Давление (самооборона / месть)","",""
"1082","ПФ","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭП поддерживает «право быть забытым» (пользователи вправе требовать от поисковиков удалять упоминания о себе из результатов поиска)","202. Перераспределение.
302. Эмоции. ЧСВ (сравнение себя с другими, шейм и соц. обусловленность, приватность)
503. Идентичность и/или Интеграция
601. Ущемляемые","","1"
"1083","Ф","XIII Кубок Сибири ","Открытый","Новосибирск","2014.10","ЭП проголосует за Ходорковского
* По неизвестной и не имеющей значения для дебатов причине в самое ближайшее время в России проходят досрочные президентские выборы, во второй тур которых выходят Путин и Ходорковский","403. Управление (государство, частник, НКО)
501. Конфликтология. Влияние (международка)
502. Демократия и авторитаризм..
802. Россия. Политика и общество
802. Россия. Внешняя политика","",""
"1084","Р1","Кубок РЭУ ","Открытый","Москва","2014.10","ЭП в случаях совершения преступлений на сексуальной почве будет учитывать внешний вид и поведение жертвы как обстоятельство, смягчающее уголовное наказание","306. Действие. Иррациональный / несвободный выбор.
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)","","1"
"1085","Р2","Кубок РЭУ ","Открытый","Москва","2014.10","ЭПСЧ Детройт должен распродать коллекцию Детройтской академии искусств (стоимостью 1 млрд. долл.), чтобы расплатиться с долгами","405. Макроэкономика. Кризис
733. Развлечения. Искусство и культура","","2"
"1086","Р3","Кубок РЭУ ","Открытый","Москва","2014.10","ЭПСЧ Турция должна помочь курдам в борьбе с ИГИЛ (Исламским Государством) путём полноценного военного вмешательства","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление (война)
806. Большой Ближний Восток. Война в Сирии и Ираке (2011 – …) (в т.ч. ИГИЛ)
806. Большой Ближний Восток. Курды
806. Большой Ближний Восток. Турция","","2"
"1087","Р4","Кубок РЭУ ","Открытый","Москва","2014.10","ЭП заставит мигрантов сдавать экзамен на знание истории Великой Отечественной войны","731. Миграция и демография. Миграция, беженцы, мобильность","","2"
