"id","Раунд","Турнир (название)","Турнир (формат)","Турнир (город)","Дата","Резолюция","Тематика (подблок)","Есть видео в
видеотеке"
"521","R1","WUDC 2020","WUDC","???","2019.12-2020.01","This House would impose a BBC-style impartiality requirement on all news platforms.
* The BBC (British Broadcasting Corporation) is legally required to cover the news impartially. This means:
1. It cannot take sides on controversial issues.
2. The amount of coverage each viewpoint gets should roughly reflect the level of support that viewpoint has in society.
3. It is not required to be neutral on certain fundamental issues like the rule of law and the legitimacy of the democratic process.

","301. Вера. Формирование убеждений
502. Демократия и авторитаризм..
721. Информационная сфера. СМИ и свобода слова",""
"522","R2","WUDC 2020","WUDC","???","2019.12-2020.01","This House supports the rapid global elimination of both tariff and non-tariff barriers to free trade.

","402. Конкуренция. Протекционизм (+ ТНК)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)",""
"523","R3","WUDC 2020","WUDC","???","2019.12-2020.01","This House would allow children to sue their parents for religious indoctrination.
* Indoctrination means teaching someone to accept beliefs uncritically. In the case of religion, this can include (but is not limited to) emphasising strict adherence to religious teachings and not presenting alternative viewpoints.

","713. Дети. Воспитание, лишение родит. Прав
725. Религия",""
"524","R4","WUDC 2020","WUDC","???","2019.12-2020.01","This House would abolish the Olympic Games.
","732. Спорт",""
"525","R5","WUDC 2020","WUDC","???","2019.12-2020.01","This House believes that the Mexican government should adopt measures that enable one cartel to monopolise the drug market. (These measures can include but are not limited to: targeting enemy cartels; selective arrests; stopping military deployments to areas controlled by this cartel; and renouncing the headhunt on its current leaders.)

","501. Конфликтология. Влияние.
501. Конфликтология. Давление (война)
501. Конфликтология. Общество насилия.
503. Идентичность и/или Интеграция
724. Медицина. Наркотики",""
"526","R6","WUDC 2020","WUDC","???","2019.12-2020.01","In liberal democracies, This House would implement a Social Credit System.
* A Social Credit System is a national government-facilitated rating system that rewards citizens for good behaviour and sanctions them for bad behaviour.
1. It evaluates a defined set of actions that includes but goes beyond illegal or legally-obligatory acts (e.g., charitable donations, recycling, volunteer work; or jaywalking, and littering).
2. Scores can be given by members of the public, corporations, NGOs, and the government.
3. Based on these scores, the government applies rewards and sanctions (e.g., fast-track through airport security, government-subsidised mortgages, free public transportation; or higher tax, slower document-processing times, and increased barriers to public sector jobs).


","202. Перераспределение (кому мы должны помочь)
305. Действие. Стимул работать..
306. Действие. Иррациональный / несвободный выбор.
502. Демократия и авторитаризм..
503. Идентичность и/или Интеграция
601. Ущемляемые",""
"527","R7","WUDC 2020","WUDC","???","2019.12-2020.01","This House believes that ASEAN should abandon ""the ASEAN Way"".
* The Association of Southeast Asian Nations (ASEAN) comprises Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, Philippines, Singapore, Thailand, and Vietnam.
At its formation, ASEAN adopted principles that have come to be known as “the ASEAN Way.” These principles place strong emphasis on national sovereignty, and a commitment to non-intervention in the affairs of member states. All ASEAN decisions are made unanimously.

","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
502. Демократия и авторитаризм..
805. Восточная Азия (АТР)..",""
"528","R8","WUDC 2020","WUDC","???","2019.12-2020.01","This House believes that the feminist movement should support the narrative that ""beauty does not matter"" over the narrative that ""all bodies are beautiful"".

","611. Гендерное неравенство. Права женщин (феминизм)
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)
724. Медицина. Ожирение, ЗОЖ, бодипозитив",""
"529","R9","WUDC 2020","WUDC","???","2019.12-2020.01","This House would abolish primary and secondary school grades/years that group children based on age, and instead group them by competency and intelligence.
","503. Идентичность и/или Интеграция
616. Эйджизм
723. Образование",""
"530","EFL SF","WUDC 2020","WUDC","???","2019.12-2020.01","This House prefers a world where, starting today, all humans have identical intellectual abilities (equivalent to the current global average).

","305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
502. Демократия и авторитаризм..
722. Технологии
723. Образование",""
"531","EFL F","WUDC 2020","WUDC","???","2019.12-2020.01","This House would abolish the private ownership of (housing) property in major metropolitan areas.

","202. Перераспределение.
305. Действие. Стимул работать..
409. Рынок жилья",""
"532","ESL QF","WUDC 2020","WUDC","???","2019.12-2020.01","In a relatively equal society where the ""protected sphere model"" is the norm, This House, as a parent, would raise their children according to the ""deferred happiness model"".
* Under the ""deferred happiness model"" of parenting, there is strong emphasis on setting children up for a successful adulthood, including through a focus on academic or extracurricular achievement, structure, and discipline.
Under the ""protected sphere model"" of parenting, there is strong emphasis on ""letting children be children"", including through a focus on playtime and personal enjoyment.

","305. Действие. Стимул работать..
713. Дети. Родители и дети",""
"533","ESL SF","WUDC 2020","WUDC","???","2019.12-2020.01","This House prefers a world without the Neuralink.
* A highly-valued startup has invented Neuralink technology, which allows people's consciousnesses to be irreversibly uploaded into a powerful supercomputer and maintained indefinitely.

","302. Эмоции..
304. Привыкание VS. возбуждение / накопление
306. Действие. Иррациональный / несвободный выбор.
307. Бессмертие
503. Идентичность и/или Интеграция",""
"534","ESL F","WUDC 2020","WUDC","???","2019.12-2020.01","This House believes that the United States government should cede the authority to prosecute criminal trials involving African Americans (as either victims or alleged perpetrators) to African American interest groups, and allocate funding for this.

","403. Управление (государство, частник, НКО)
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
501. Конфликтология. Давление..
503. Идентичность и/или Интеграция
614. Расизм",""
"535","Double octos (команды, занявшие в тэба места с 17 по 48, играют за выход в 1/8)","WUDC 2020","WUDC","???","2019.12-2020.01","This House prefers religions in which all individuals have roughly equal religious obligations and are encouraged to develop a personal connection with the divine, over religions in which religious obligation and access to the divine are concentrated in religious authority figures.

","725. Религия",""
"536","Octo-F","WUDC 2020","WUDC","???","2019.12-2020.01","This House prefers a cynical and pessimistic perception of democratic politics to an idealistic and optimistic one.

","502. Демократия и авторитаризм..",""
"537","QF","WUDC 2020","WUDC","???","2019.12-2020.01","This House believes that developing countries should acquire, on the open market, large stakes in major publicly-traded global corporations (eg. Google, JP Morgan, Shell, and Pfizer).

ЭПСЧ развивающиеся страны должны приобретать на открытом рынке крупные доли в крупных публично торгуемых глобальных корпорациях (например, Google, JP Morgan, Shell и Pfizer).","402. Конкуренция. Протекционизм (+ ТНК)
405. Макроэкономика. Кризис",""
"538","SF","WUDC 2020","WUDC","???","2019.12-2020.01","This House prefers a ""Brave New World"" to the status quo in Western Liberal Democracies.
* A “Brave New World” has these characteristics:
1. People are genetically engineered and socially conditioned by the state for specific societal roles.
2. People's material and physical needs are unfailingly met.
3. There is no possibility of changing the social order.

","201. Утилитаризм, вуаль незнания
302. Эмоции..
305. Действие. Стимул работать..
401. Неравенство и/или экономический рост
502. Демократия и авторитаризм..",""
"539","F","WUDC 2020","WUDC","???","2019.12-2020.01","This House, as China, would grant universal suffrage to Hong Kong citizens

","501. Конфликтология. Влияние (международка)
501. Конфликтология. Влияние (выборы)
501. Конфликтология. Влияние (единство: сепаратизм / интеграция)
501. Конфликтология. Давление..
503. Идентичность и/или Интеграция
805. Восточная Азия (АТР). Китай",""
"540","R1","EUDC 2020","EUDC","Онлайн","2020.08","THW only allow university admission on the basis of standardized testing, as opposed to non-quantitative methods (e.g. essays, alumni interviews)
","723. Образование",""
"541","R2","EUDC 2020","EUDC","Онлайн","2020.08","This House Would ban Amazon's internal arbitration courts
* All third party sellers on Amazon are contractually obliged to settle any dispute between them and Amazon in an Amazon internal arbitration process.
","306. Действие. Иррациональный / несвободный выбор.
404. Трудовые права.",""
"542","R3","EUDC 2020","EUDC","Онлайн","2020.08","This House Opposes the commercialization of Mindfulness
* Mindfulness is the psychological process of purposely bringing one's attention to experiences occurring in the present moment without judgment, which one develops through the practice of meditation and through other training.
","305. Действие. Стимул работать. Коммерциализация
306. Действие. Иррациональный / несвободный выбор.
403. Управление (государство, частник, НКО)",""
"543","R4","EUDC 2020","EUDC","Онлайн","2020.08","This House Believes That pro-democratic activists should use fake news and synthetic media (e.g. ""deepfake"", fake video or audio recordings) to advance their cause.
","301. Вера. Формирование убеждений
302. Эмоции..
501. Конфликтология. Влияние (выборы)
502. Демократия и авторитаризм..
802. Россия. Политика и общество",""
"544","R5","EUDC 2020","EUDC","Онлайн","2020.08","THR the trend of central banks setting extremely low interest rates after the 2008 financial crisis
","405. Макроэкономика. Кризис",""
"545","R6","EUDC 2020","EUDC","Онлайн","2020.08","This House Believes That 10 Minute School should remove the videos.
* 10 Minute School is a large educational start-up operating in Bangladesh. It produces very popular online content including lessons on school subjects, as well as basic life skills such as writing a CV.
Recently, in response to several videos about consent, LGBTQ+ rights and gender equality, extremists in Bangladesh have come out against the organization and its founders, calling the organization anti-Muslim and openly threatening them.
","611. Гендерное неравенство. Права женщин (феминизм)
611. Гендерное неравенство. Права мужчин
613. ЛГБТ+",""
"546","R7","EUDC 2020","EUDC","Онлайн","2020.08","Given the technology, This House Would erase society's memory and evidence of the criminal past of former convicts after their release from prison.

","301. Вера. Память
501. Конфликтология и/или безопасность и/или функции уголовной ответственности
617. Преступники / бывшие заключённые",""
"547","R8","EUDC 2020","EUDC","Онлайн","2020.08","This House Believes That leaders of an occupied nation should not assist the occupying powers in maintaining stability
","401. Неравенство и/или экономический рост
501. Конфликтология. Давление..
502. Демократия и авторитаризм..",""
"548","R9","EUDC 2020","EUDC","Онлайн","2020.08","The motion for this round reads: This House Would ban ownership consolidation of newspapers by a single entity e.g. private equity firms, single media company
","402. Конкуренция. Монополии
721. Информационная сфера. СМИ и свобода слова",""
"549","ESL QF","EUDC 2020","EUDC","Онлайн","2020.08","This House Would force individuals suspected of being a ""stolen child"" under the junta to undergo DNA testing to establish whether they are indeed stolen children.
* From 1976 to 1983, Argentina was ruled by a military junta. In order to ensure lasting loyalty to the regime, the junta secretly kidnapped children of ""subversive"" parents as infants.
","301. Вера. Формирование убеждений
502. Демократия и авторитаризм..
713. Дети. Детдома, усыновление
809. Латинская Америка",""
"550","ESL SF","EUDC 2020","EUDC","Онлайн","2020.08","THBT countries should suspend all elections in times of severe health crises
","502. Демократия и авторитаризм..
724. Медицина",""
"551","ESL F","EUDC 2020","EUDC","Онлайн","2020.08","THW only recruit atheists to be part of the group, and would not allow any religious books or items of worship on board
* The year is 2140. A distant planet very similar to Earth has been discovered. A group of humans is supposed to embark on a journey to settle the planet.
","503. Идентичность и/или Интеграция
722. Технологии. Наука и эксперименты
725. Религия",""
"552","1/8 (частич.)","EUDC 2020","EUDC","Онлайн","2020.08","This House Would ban insurance coverage for sexual misconduct claims
","306. Действие. Иррациональный / несвободный выбор.
612. Лукизм (+ Сексуальная объективация + Сексуальное насилие)",""
"553","QF","EUDC 2020","EUDC","Онлайн","2020.08","This House Would transfer management of all water resources to an international body
","202. Перераспределение.
407. Рынок энергетики и ресурсов",""
"554","SF","EUDC 2020","EUDC","Онлайн","2020.08","TH, as Israel, would form a strategic military alliance with the Kurds in Syria

","501. Конфликтология. Влияние (международка)
501. Конфликтология. Давление (война)
502. Демократия и авторитаризм..
806. Большой Ближний Восток. Израиль и/или Палестина
806. Большой Ближний Восток. Курды",""
"555","F","EUDC 2020","EUDC","Онлайн","2020.08","THW allow police officers to refuse orders on grounds of conscience

","501. Конфликтология. Давление (полиция и спецслужбы)",""
